No.;Tahun;Jenis Hutan;Nama PBPH;Luas PBPH;Target Produksi RKTPH Murni Luas (Ha);Target Produksi RKTPH Murni Volume (M3);Target Produksi RKTPH Carry Over Luas (Ha);Target Produksi RKTPH Carry Over Volume (M3);Target Produksi RKTPH Jumlah Luas (Ha);Target Produksi RKTPH Jumlah Volume (M3);Realisasi Produksi RKTPH Alam Volume (M3);Realisasi Produksi RKTPH Tanaman Volume (M3);Realisasi Produksi RKTPH Jumlah Volume (M3);Prosentase;Keterangan
36;2022;Hutan Alam;PT. Mahakarya Perdana Gemilang Unit I;22.305,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
37;2022;Hutan Alam;PT. Narkata Rimba;65.925,00;1.958,95;27.233,93;488,15;9.076,22;2.447,10;36.310,15;14.292,47;0;14.292,47;39,36%;Tidak Ada
38;2022;Hutan Alam;PT. Panambangan;43.240,00;588;24.634,99;0;0;588;24.634,99;0;0;0;0,00%;Tidak Ada
39;2022;Hutan Alam;PT. Restorasi Habitat Orangutan Indonesia;86.450,00;0;0;0;0;0;0;0;0;0;0,00%;Tidak Ada
40;2022;Hutan Alam;PT. Seroja Universum Narwastu;36.500,00;1.145,00;45.025,30;0;0;1.145,00;45.025,30;13.441,49;0;13.441,49;29,85%;Tidak Ada
41;2022;Hutan Alam;PT. Sumalindo Lestari Jaya IV;63.550,00;1.434,00;39.254,78;0;0;1.434,00;39.254,78;39.253,37;0;39.253,37;100,00%;Tidak Ada
42;2022;Hutan Alam;PT. Mutiara Kalja Permai;65.875,00;0;0;0;0;0;0;8.750,59;0;8.750,59;0%;Tidak Ada
43;2022;Hutan Alam;PT. Mutiara Kalja Permai Unit I (d.h. Wana Rimba Kencana);75.120,00;2.537,73;61.466,73;0;0;2.537,73;61.466,73;31.570,31;0;31.570,31;51,36%;Tidak Ada
44;2022;Hutan Alam;PT. Triwiraasta Bharata;53.430,00;1.513,00;16.449,53;0;0;1.513,00;16.449,53;860,13;0;860,13;5,23%;Tidak Ada
45;2022;Hutan Alam;PT. Balikpapan Wana Lestari;140.845,00;2.790,62;0;1.911,00;0;4.701,62;0;38.529,20;0;38.529,20;0%;Tidak Ada
46;2022;Hutan Alam;PT. Daya Maju Lestari;54.405,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
47;2022;Hutan Alam;PT. Gunung Gajah Abadi;74.980,00;2.440,00;56.399,49;1.018,00;19.541,56;3.458,00;75.941,05;41.141,06;0;41.141,06;54,17%;Tidak Ada
48;2022;Hutan Alam;PT. Oceanias Timber Products;67.030,00;1.583,00;29.309,78;0;0;1.583,00;29.309,78;20.840,39;0;20.840,39;71,10%;Tidak Ada
49;2022;Hutan Alam;PT. Segara Indochem;85.725,00;1.182,00;30.434,59;0;0;1.182,00;30.434,59;18.244,88;0;18.244,88;59,95%;Tidak Ada
