No.;Tahun;Jenis Hutan;Nama PBPH;Luas PBPH;Target Produksi RKTPH Murni Luas (Ha);Target Produksi RKTPH Murni Volume (M3);Target Produksi RKTPH Carry Over Luas (Ha);Target Produksi RKTPH Carry Over Volume (M3);Target Produksi RKTPH Jumlah Luas (Ha);Target Produksi RKTPH Jumlah Volume (M3);Realisasi Produksi RKTPH Alam Volume (M3);Realisasi Produksi RKTPH Tanaman Volume (M3);Realisasi Produksi RKTPH Jumlah Volume (M3);Prosentase;Keterangan
149;2023;Hutan Alam;PT. Panambangan;43.240,00;4.392,00;28.484,28;0;0;4.392,00;28.484,28;4.179,26;0;4.179,26;14,67%;Tidak Ada
150;2023;Hutan Alam;PT. Restorasi Habitat Orangutan Indonesia;86.450,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
151;2023;Hutan Alam;PT. Seroja Universum Narwastu;36.500,00;0;0;0;0;0;0;13.441,49;0;13.441,49;0%;Tidak Ada
152;2023;Hutan Alam;PT. Sumalindo Lestari Jaya IV;63.550,00;2.165,04;118.295,74;0;0;2.165,04;118.295,74;43.688,59;0;43.688,59;36,93%;Tidak Ada
153;2023;Hutan Alam;PT. Mutiara Kalja Permai;65.875,00;0;0;0;0;0;0;8.750,59;0;8.750,59;0%;Tidak Ada
154;2023;Hutan Alam;PT. Mutiara Kalja Permai Unit I (d.h. Wana Rimba Kencana);75.120,00;0;0;0;0;0;0;31.570,31;0;31.570,31;0%;Tidak Ada
155;2023;Hutan Alam;PT. Triwiraasta Bharata;53.430,00;2.649,00;25.828,00;3.058,00;23.475,00;5.707,00;49.303,00;1.070,20;0;1.070,20;2,17%;Tidak Ada
156;2023;Hutan Alam;PT. Balikpapan Wana Lestari;140.845,00;3.105,00;46.661,81;2.406,78;37.964,18;5.511,78;84.625,99;100,71;0;100,71;0,12%;Tidak Ada
157;2023;Hutan Alam;PT. Daya Maju Lestari;54.405,00;2.164,61;240.364,52;0;0;2.164,61;240.364,52;0;0;0;0,00%;Tidak Ada
158;2023;Hutan Alam;PT. Gunung Gajah Abadi;74.980,00;2.366,00;60.130,83;0;0;2.366,00;60.130,83;41.170,81;0;41.170,81;68,47%;Tidak Ada
159;2023;Hutan Alam;PT. Oceanias Timber Products;67.030,00;1.560,51;21.393,20;0;0;1.560,51;21.393,20;7.367,84;0;7.367,84;34,44%;Tidak Ada
160;2023;Hutan Alam;PT. Segara Indochem;85.725,00;1.091,00;13.425,72;0;0;1.091,00;13.425,72;18.244,88;0;18.244,88;135,89%;Tidak Ada
161;2023;Hutan Alam;PT. Greaty Sukses Abadi;16.865,00;198;10.002,32;0;0;198;10.002,32;0;0;0;0,00%;Tidak Ada
162;2023;Hutan Alam;PT. Kiani Lestari;134.950,00;4.382,45;36.857,35;0;0;4.382,45;36.857,35;5.400,00;0;5.400,00;14,65%;Tidak Ada
163;2023;Hutan Alam;PT. Hutan Orangutan Perlindungan Ekosistem;49.999,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
164;2023;Hutan Alam;PT. Hutan Orangutan Perlindungan Ekosistem Unit 2;49.910,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
165;2023;Hutan Alam;PT. Aditya Kirana Makmur;42.700,00;899;29.433,33;0;0;899;29.433,33;7.024,60;0;7.024,60;23,87%;Tidak Ada
166;2023;Hutan Alam;PT. Aquila Silva;55.300,00;540;7.150,29;0;0;540;7.150,29;9.235,64;0;9.235,64;129,16%;Tidak Ada
167;2023;Hutan Alam;PT. Ratah Timber;93.425,00;774,98;29.449,39;48.037,00;23.769,43;48.811,98;53.218,82;23.790,33;0;23.790,33;44,70%;Tidak Ada
168;2023;Hutan Alam;PT. ITCI Kartika Utama (ITCIKU);173.395,00;774,77;29.580,30;0;0;774,77;29.580,30;286,37;0;286,37;0,97%;Tidak Ada
169;2023;Hutan Alam;PT. Timberdana;74.580,00;2.417,00;40.200,00;1.798,00;37.820,91;4.215,00;78.020,91;38.638,94;0;38.638,94;49,52%;Tidak Ada
170;2023;Hutan Alam;PT. Sumalindo Lestari Jaya II;267.600,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
171;2023;Hutan Alam;PT. Rizki Kacida Reana;55.150,00;1.374,00;39.528,98;500;17.211,84;1.874,00;56.740,82;5.935,60;0;5.935,60;10,46%;Tidak Ada
172;2023;Hutan Tanaman;PT. Delonix Agro Prima;19.250,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
173;2023;Hutan Tanaman;PT. Belantara Subur;16.475,00;726,44;80.394,93;205,97;8.022,56;932,41;88.417,49;0;20.419,73;20.419,73;23,09%;Tidak Ada
174;2023;Hutan Tanaman;PT. Belantara Pusaka;15.610,00;2.026,00;16.029,31;1.739,00;18.490,88;3.765,00;34.520,19;0;0;0;0,00%;Tidak Ada
175;2023;Hutan Tanaman;PT. Belantara Persada;17.150,00;290,8;3.050,71;0;0;290,8;3.050,71;0;0;0;0,00%;Tidak Ada
176;2023;Hutan Tanaman;PT. Acacia Andalan Utama;38.879,70;2.719,00;228.365,00;2.568,00;192.225,00;5.287,00;420.590,00;0;294.406,83;294.406,83;70,00%;Tidak Ada
177;2023;Hutan Tanaman;PT. Multi Kusuma Cemerlang;18.045,00;2.224,00;4.530,69;0;0;2.224,00;4.530,69;0;0;0;0,00%;Tidak Ada
178;2023;Hutan Tanaman;PT. Acacia Andalan Utama II;21.965,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
179;2023;Hutan Tanaman;PT. Cahaya Mitra Wiratama;18.290,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
180;2023;Hutan Tanaman;PT. Dharma Hutani Makmur;28.950,00;6.969,60;6.719,98;0;0;6.969,60;6.719,98;4.519,57;0;4.519,57;67,26%;Tidak Ada
181;2023;Hutan Tanaman;PT. ITCI Hutani Manunggal (IKN);42.150,00;0;0;0;0;0;0;0;620.799,27;620.799,27;0%;Tidak Ada
182;2023;Hutan Tanaman;PT. Sumalindo Hutani Jaya I;10.976,40;0;0;2.621,00;118.919,00;2.621,00;118.919,00;0;190.340,84;190.340,84;160,06%;Tidak Ada
183;2023;Hutan Tanaman;PT. Tanjung Redeb Hutani;185.840,00;8.353,42;500.404,27;0;0;8.353,42;500.404,27;79.077,68;52.665,67;131.743,35;26,33%;Tidak Ada
184;2023;Hutan Tanaman;PT. Sumalindo Hutani Jaya II;54.490,00;1.553,00;146.034,00;1.545,00;136.754,00;3.098,00;282.788,00;0;0;0;0,00%;Tidak Ada
185;2023;Hutan Tanaman;PT. Wahana Subur Persada;41.735,00;20;583;0;0;20;583;0;0;0;0,00%;Tidak Ada
186;2023;Hutan Tanaman;PT. Mahakam Persada Sakti;25.410,00;4.699,20;244.555,00;2.027,10;59.499,16;6.726,30;304.054,16;0;243.413,40;243.413,40;80,06%;Tidak Ada
187;2023;Hutan Tanaman;PT. Silva Rimba Lestari;88.000,00;3.426,00;317.300,00;696;80.068,00;4.122,00;397.368,00;0;0;0;0,00%;Tidak Ada
188;2023;Hutan Tanaman;PT. Kelawit Wanalestari II;26.565,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
189;2023;Hutan Tanaman;PT. Swadaya Perkasa;17.925,00;2.075,00;27.965,76;2.057,00;45.623,94;4.132,00;73.589,70;4.329,28;0;4.329,28;5,88%;Tidak Ada
190;2023;Hutan Tanaman;PT. Indosubur Sukses Makmur;28.655,00;1.914,00;35.042,91;2.269,00;58.084,84;4.183,00;93.127,75;29.040,98;0;29.040,98;31,18%;Tidak Ada
191;2023;Hutan Tanaman;PT. Taman Daulat Wananusa;13.400,00;904;32.985,00;839;45.054,00;1.743,00;78.039,00;0;0;0;0,00%;Tidak Ada
192;2023;Hutan Tanaman;PT. Kelawit Hutani Lestari;9.755,00;0;0;360;53.752,00;360;53.752,00;0;0;0;0,00%;Tidak Ada
193;2023;Hutan Tanaman;PT. Fajar Surya Swadaya;56.211,75;9.494,00;658.387,00;7.230,00;522.698,00;16.724,00;1.181.085,00;0;0;0;0,00%;Tidak Ada
194;2023;Hutan Tanaman;PT. Sylvaduta Corporation;42.635,00;30;0;0;0;30;0;0;0;0;0%;Tidak Ada
195;2023;Hutan Tanaman;PT. Diva Perdana Pesona;29.485,00;295;2.793,65;79;748,13;374;3.541,78;0;0;0;0,00%;Tidak Ada
196;2023;Hutan Tanaman;PT. Hutan Berau Lestari;12.002,00;1.960,60;31.284,52;2.075,54;44.438,50;4.036,14;75.723,02;27.993,06;0;27.993,06;36,97%;Tidak Ada
197;2023;Hutan Tanaman;PT. Hanujaya Hutanindo;13.900,00;2.270,36;5.997,20;860,07;12.536,86;3.130,43;18.534,06;9.033,80;0;9.033,80;48,74%;Tidak Ada
198;2023;Hutan Tanaman;PT. Silva Selaras Utama;35.640,00;4.501,96;54.388,29;8.550,23;231.807,02;13.052,19;286.195,31;11.959,92;0;11.959,92;4,18%;Tidak Ada
199;2023;Hutan Tanaman;PT. Hutan Mahligai;11.275,00;1.836,00;83.184,94;1.419,00;40.137,00;3.255,00;123.321,94;0;450,08;450,08;0,36%;Tidak Ada
200;2023;Hutan Tanaman;PT. Bhinneka Wana;9.945,00;0;0;788,89;181.814,41;788,89;181.814,41;0;9.236,77;9.236,77;5,08%;Tidak Ada
201;2023;Hutan Tanaman;PT. Wana Kaltim Lestari;15.825,21;364,11;2.669,67;0;0;364,11;2.669,67;8.373,46;0;8.373,46;313,65%;Tidak Ada
202;2023;Hutan Tanaman;PT. ITCI Hutani Manunggal;114.830,00;7.437,00;720.322,00;4.056,00;244.613,00;11.493,00;964.935,00;0;783.956,65;783.956,65;81,24%;Tidak Ada
203;2023;Hutan Tanaman;PT. Rimba Raya Lestari;17.330,00;1.494,00;39.906,83;0;0;1.494,00;39.906,83;0;0;0;0,00%;Tidak Ada
204;2023;Hutan Tanaman;PT. Sendawar Adhi Karya;25.400,00;4.336,35;422.081,49;11.597,59;539.388,94;15.933,94;961.470,43;32.579,60;0;32.579,60;3,39%;Tidak Ada
205;2023;Hutan Tanaman;PT. Permata Borneo Abadi;49.000,00;4.416,23;122.560,39;5.680,24;22.487,90;10.096,47;145.048,29;2.895,08;0;2.895,08;2,00%;Tidak Ada
206;2023;Hutan Tanaman;PT. Santan Borneo Abadi;32.825,00;5.354,90;277.576,00;2.604,80;85.920,00;7.959,70;363.496,00;0;150.672,25;150.672,25;41,45%;Tidak Ada
207;2023;Hutan Tanaman;PT. Oceanias Timber Products;16.600,00;646;1.662,83;290,55;999,52;999,52;2.662,35;7.367,84;0;7.367,84;276,74%;Tidak Ada
208;2023;Hutan Tanaman;PT. Puji Sempurna Raharja;8.100,00;1.459,00;40.319,20;0;0;1.459,00;40.319,20;28.947,33;0;28.947,33;71,80%;Tidak Ada
209;2023;Hutan Tanaman;PT. Borneo Kutai Lestari;13.240,00;250;28.124,00;0;0;250;28.124,00;0;0;0;0,00%;Tidak Ada
210;2023;Hutan Tanaman;PT. Inhutani I Unit Long Nah;48.215,00;249,2;1.277,99;0;0;249,2;1.277,99;1.572,98;0;1.572,98;123,08%;Tidak Ada
211;2023;Hutan Tanaman;PT. Mitra Mulia Mahakam;10.350,00;0;0;0;0;0;0;2.031,21;0;2.031,21;0%;Tidak Ada
212;2023;Hutan Tanaman;PT. Inhutani I (Unit Tanah Grogot);15.336,00;589;57.326,85;1.207,48;122.230,08;1.796,48;179.556,93;0;14.236,00;14.236,00;7,93%;Tidak Ada
213;2023;Hutan Tanaman;PT. Bakayan Jaya Abadi;9.055,00;2.632,60;195.495,00;623,8;28.567,11;3.256,40;224.062,11;0;121.519,47;121.519,47;54,23%;Tidak Ada
214;2023;Hutan Tanaman;PT. Sumalindo Alam Lestari Unit I;32.550,00;2.200,00;86.028,63;0;0;2.200,00;86.028,63;0;3.502,80;3.502,80;4,07%;Tidak Ada
215;2023;Hutan Tanaman;PT. Sumalindo Alam Lestari Unit II;24.500,00;191,12;9.125,00;0;0;191,12;9.125,00;0;0;0;0,00%;Tidak Ada
216;2023;Hutan Tanaman;PT. Permata Hijau Khatulistiwa;25.465,00;3.999,70;403.532,40;1.209,90;43.005,12;5.209,60;446.537,52;0;461.424,12;461.424,12;103,33%;Tidak Ada
217;2023;Hutan Tanaman;PT. Hutan Kusuma;14.235,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
218;2023;Hutan Tanaman;PT. Surya Hutani Jaya;183.300,00;17.272,00;1.535.155,00;10.436,00;816.131,00;27.708,00;2.351.286,00;0;1.541.852,92;1.541.852,92;65,57%;Tidak Ada
219;2023;Hutan Tanaman;PT. Jaya Bumi Paser;23.590,00;4.933,00;6.500,00;2.372,00;2.300,00;7.305,00;8.800,00;5.773,28;0;5.773,28;65,61%;Tidak Ada
220;2023;Hutan Tanaman;PT. Akandra Hijau Lestari;17.835,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
221;2023;Hutan Tanaman;PT. Inhutani I Unit Batu Ampar - Mentawir;16.521,00;0;0;0;0;0;0;0;167,14;167,14;0%;Tidak Ada
222;2023;Hutan Tanaman;PT. Kelawit Wanalestari I;17.850,00;0;0;2.045,00;212.929,00;2.045,00;212.929,00;0;15.712,06;15.712,06;7,38%;Tidak Ada
223;2024;Hutan Alam;PT. Delonix Agro Prima;19.250,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
224;2024;Hutan Alam;PT. Belantara Subur;16.475,00;234,18;10.946,59;444,72;49.231,07;678,9;60.177,66;0;33.266,22;33.266,22;55,28%;Tidak Ada
225;2024;Hutan Alam;PT. Belantara Pusaka;15.610,00;2.127,00;22.422,50;2.026,00;16.029,31;4.153,00;38.451,81;68,88;0;68,88;0,18%;Tidak Ada
226;2024;Hutan Alam;PT. Belantara Persada;17.150,00;575;26.637,39;290,8;14.001,96;865,8;40.639,35;0;0;0;0,00%;Tidak Ada
227;2024;Hutan Alam;PT. Acacia Andalan Utama;38.879,70;2.066,18;227.622,12;3.262,25;265.541,31;5.328,43;493.163,43;0;343.991,31;343.991,31;69,75%;Tidak Ada
228;2024;Hutan Alam;PT. Multi Kusuma Cemerlang;18.045,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
229;2024;Hutan Alam;PT. Acacia Andalan Utama II;21.965,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
230;2024;Hutan Alam;PT. Cahaya Mitra Wiratama;18.290,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
231;2024;Hutan Alam;PT. Dharma Hutani Makmur;28.950,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
232;2024;Hutan Alam;PT. ITCI Hutani Manunggal (IKN);42.150,00;0;0;0;0;0;0;0;812.766,89;812.766,89;0%;Tidak Ada
233;2024;Hutan Alam;PT. Sumalindo Hutani Jaya I;10.976,40;385,49;28.520,78;394;23.713,53;779,49;52.234,31;0;132.196,65;132.196,65;253,08%;Tidak Ada
234;2024;Hutan Alam;PT. Tanjung Redeb Hutani;185.840,00;6.032,43;325.002,00;1.719,62;168.848,92;7.752,05;493.850,92;72.720,07;192.280,97;265.001,04;53,66%;Tidak Ada
235;2024;Hutan Alam;PT. Sumalindo Hutani Jaya II;54.490,00;1.497,13;126.054,51;2.063,54;157.663,31;3.560,67;283.717,82;0;0;0;0,00%;Tidak Ada
236;2024;Hutan Alam;PT. Wahana Subur Persada;41.735,00;5.735,00;55.918,89;0;0;5.735,00;55.918,89;0;0;0;0,00%;Tidak Ada
237;2024;Hutan Alam;PT. Mahakam Persada Sakti;25.410,00;2.140,32;137.059,00;0;0;2.140,32;137.059,00;0;150.779,81;150.779,81;110,01%;Tidak Ada
238;2024;Hutan Alam;PT. Silva Rimba Lestari;88.000,00;3.423,78;32.658,11;0;0;3.423,78;32.658,11;0;2.596,57;2.596,57;7,95%;Tidak Ada
239;2024;Hutan Alam;PT. Kelawit Wanalestari II;26.565,00;26,56;79,67;0;0;26,56;79,67;0;0;0;0,00%;Tidak Ada
240;2024;Hutan Alam;PT. Swadaya Perkasa;17.925,00;1.797,00;46.178,58;1.740,00;26.979,66;3.537,00;73.158,24;9.603,70;0;9.603,70;13,13%;Tidak Ada
241;2024;Hutan Alam;PT. Indosubur Sukses Makmur;28.655,00;5.186,00;101.966,62;1.914,00;26.400,54;7.100,00;128.367,16;34.981,04;0;34.981,04;27,25%;Tidak Ada
242;2024;Hutan Alam;PT. Taman Daulat Wananusa;13.400,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
243;2024;Hutan Alam;PT. Kelawit Hutani Lestari;9.755,00;0;0;425,84;61.687,77;425,84;61.687,77;0;0;0;0,00%;Tidak Ada
244;2024;Hutan Alam;PT. Fajar Surya Swadaya;56.211,75;4.122,53;164.103,19;482,3;20.873,09;4.604,83;184.976,28;0;110.897,03;110.897,03;59,95%;Tidak Ada
245;2024;Hutan Alam;PT. Sylvaduta Corporation;42.635,00;6.791,60;4.288,04;0;0;6.791,60;4.288,04;2.502,08;0;2.502,08;58,35%;Tidak Ada
246;2024;Hutan Alam;PT. Diva Perdana Pesona;29.485,00;2.443,97;42.882,95;0;0;2.443,97;42.882,95;0;0;0;0,00%;Tidak Ada
247;2024;Hutan Alam;PT. Hutan Berau Lestari;12.002,00;1.330,60;32.024,31;1.737,90;25.767,63;3.068,50;57.791,94;37.026,00;0;37.026,00;64,07%;Tidak Ada
248;2024;Hutan Alam;PT. Hanujaya Hutanindo;13.900,00;1.493,46;5.610,13;2.242,98;5.922,68;3.736,44;11.532,81;2.724,08;0;2.724,08;23,62%;Tidak Ada
249;2024;Hutan Alam;PT. Silva Selaras Utama;35.640,00;4.856,93;106.825,43;5.778,00;83.549,39;10.634,93;190.374,82;14.134,85;0;14.134,85;7,42%;Tidak Ada
250;2024;Hutan Alam;PT. Hutan Mahligai;11.275,00;1.939,00;20.076,68;0;0;1.939,00;20.076,68;0;0;0;0,00%;Tidak Ada
251;2024;Hutan Alam;PT. Bhinneka Wana;9.945,00;0;0;351,93;36.000,00;351,93;36.000,00;0;8.059,14;8.059,14;22,39%;Tidak Ada
252;2024;Hutan Alam;PT. Wana Kaltim Lestari;15.825,21;1.125,51;6.596,95;284,43;2.178,88;1.409,94;8.775,83;8.373,46;0;8.373,46;95,42%;Tidak Ada
253;2024;Hutan Alam;PT. ITCI Hutani Manunggal;114.830,00;9.639,06;1.045.919,53;1.081,94;146.143,82;10.721,00;1.192.063,35;0;683.850,77;683.850,77;57,37%;Tidak Ada
254;2024;Hutan Alam;PT. Rimba Raya Lestari;17.330,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
255;2024;Hutan Alam;PT. Sendawar Adhi Karya;25.400,00;2.728,22;164.122,07;3.027,13;330.339,19;5.755,35;494.461,26;209.220,91;36.576,24;245.797,15;49,71%;Tidak Ada
256;2024;Hutan Alam;PT. Permata Borneo Abadi;49.000,00;4.300,97;429.568,00;0;0;4.300,97;429.568,00;0;319.515,26;319.515,26;74,38%;Tidak Ada
257;2024;Hutan Alam;PT. Santan Borneo Abadi;32.825,00;1.236,21;80.122,00;994,38;53.371,00;2.230,59;133.493,00;0;59.723,50;59.723,50;44,74%;Tidak Ada
258;2024;Hutan Alam;PT. Oceanias Timber Products;16.600,00;2.514,78;5.889,05;0;0;2.514,78;5.889,05;1.394,81;0;1.394,81;23,68%;Tidak Ada
259;2024;Hutan Alam;PT. Puji Sempurna Raharja;8.100,00;882;5.789,74;1.459,00;40.319,19;2.341,00;46.108,93;2.252,24;0;2.252,24;4,88%;Tidak Ada
260;2024;Hutan Alam;PT. Borneo Kutai Lestari;13.240,00;2.542,10;48.500,15;0;0;2.542,10;48.500,15;0;0;0;0,00%;Tidak Ada
261;2024;Hutan Alam;PT. Inhutani I Unit Long Nah;48.215,00;5.769,73;299.731,00;0;0;5.769,73;299.731,00;0;187.734,09;187.734,09;62,63%;Tidak Ada
262;2024;Hutan Alam;PT. Mitra Mulia Mahakam;10.350,00;1.322,29;12.453,33;200;3.150,88;1.522,29;15.604,21;877,61;0;877,61;5,62%;Tidak Ada
263;2024;Hutan Alam;PT. Inhutani I (Unit Tanah Grogot);15.336,00;521,11;35.393,89;463,43;30.373,63;984,54;65.767,52;0;16.767,36;16.767,36;25,49%;Tidak Ada
264;2024;Hutan Alam;PT. Bakayan Jaya Abadi;9.055,00;1.295,75;74.068,00;1.393,00;134.255,00;2.688,75;208.323,00;0;253.911,75;253.911,75;121,88%;Tidak Ada
265;2024;Hutan Alam;PT. Sumalindo Alam Lestari Unit I;32.550,00;5.398,00;363.132,17;900;66.124,42;6.298,00;429.256,59;0;248.039,27;248.039,27;57,78%;Tidak Ada
266;2024;Hutan Alam;PT. Sumalindo Alam Lestari Unit II;24.500,00;2.211,97;146.529,51;0;0;2.211,97;146.529,51;0;0;0;0,00%;Tidak Ada
267;2024;Hutan Alam;PT. Permata Hijau Khatulistiwa;25.465,00;4.995,12;456.981,64;43,39;614,3;5.038,51;457.595,94;0;238.347,01;238.347,01;52,09%;Tidak Ada
268;2024;Hutan Alam;PT. Hutan Kusuma;14.235,00;50;3.000,00;0;0;50;3.000,00;0;0;0;0,00%;Tidak Ada
269;2024;Hutan Alam;PT. Surya Hutani Jaya;183.300,00;22.488,76;1.752.506,49;8.474,15;703.553,85;30.962,91;2.456.060,34;0;1.192.359,19;1.192.359,19;48,55%;Tidak Ada
270;2024;Hutan Alam;PT. Jaya Bumi Paser;23.590,00;5.641,67;64.232,50; 1218.04 ;5.296,61;0;69.529,11;1.561,09;11.943,26;13.504,35;19,42%;Tidak Ada
271;2024;Hutan Alam;PT. Akandra Hijau Lestari;17.835,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
272;2024;Hutan Alam;PT. Inhutani I Unit Batu Ampar - Mentawir;16.521,00;800;600;0;0;800;600;0;0;0;0,00%;Tidak Ada
273;2024;Hutan Alam;PT. Kelawit Wanalestari I;17.850,00;648,26;73.416,52;1.175,75;117.311,40;1.824,01;190.727,92;0;83.241,02;83.241,02;43,64%;Tidak Ada
274;2024;Hutan Tanaman;Koperasi. Pondok Pesantren Darussalam;20.159,00;473;18.060,81;0;0;473;18.060,81;0;0;0;0,00%;Memiliki RKT
275;2024;Hutan Tanaman;PT. Karya Wijaya Sukses;17.885,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
276;2024;Hutan Tanaman;PT. Nadila Indodaya;32.970,00;883,47;9.179,14;0;0;883,47;9.179,14;0;0;0;0,00%;Memiliki RKT
277;2024;Hutan Tanaman;PT. Borneo Karya Indah Mandiri;47.395,00;1.364,00;10.903,48;0;0;1.364,00;10.903,48;0;0;0;0,00%;Memiliki RKT
278;2024;Hutan Tanaman;PT. Wangsa Karya Lestari;38.880,00;1.151,00;10.682,77;0;0;1.151,00;10.682,77;0;0;0;0,00%;Memiliki RKT
279;2024;Hutan Tanaman;PT. Greaty Sukses Abadi Unit Sungai Telakai;34.865,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
280;2024;Hutan Tanaman;PT. Hanurata (Kalimantan Timur);86.440,00;2.084,00;16.523,64;0;0;2.084,00;16.523,64;0;0;0;0,00%;Memiliki RKT
281;2024;Hutan Tanaman;PT. Kreasi Prima Lestari;41.475,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
282;2024;Hutan Tanaman;PT. Inhutani I Unit Meraang;70.700,00;2.569,38;68.098,53;977,45;20.389,47;3.546,83;88.488,00;0;0;0;0,00%;Memiliki RKT
283;2024;Hutan Tanaman;PT. Inhutani I Unit Labanan;138.210,00;3.018,00;78.124,79;902;7.624,18;3.920,00;85.748,97;5.278,95;0;5.278,95;6,16%;Memiliki RKT
284;2024;Hutan Tanaman;PT. Karya Lestari;49.123,00;1.464,00;41.267,55;479;11.479,49;1.943,00;52.747,04;8.113,33;0;8.113,33;15,38%;Memiliki RKT
285;2024;Hutan Tanaman;PT. Utama Damai Indah Timber;49.250,00;1.408,00;22.883,60;0,00;0,00;1.408,00;22.883,60;5.358,84;0;5.358,84;23,42%;Memiliki RKT
286;2024;Hutan Tanaman;PT. Kedungmadu Tropical Wood;50.400,00;1.966,00;33.119,31;1.179,00;18.032,05;3.145,00;51.151,36;4.610,08;0;4.610,08;9,01%;Memiliki RKT
287;2024;Hutan Tanaman;PT. Inhutani I Unit Sambarata;106.020,00;2.767,00;88.396,86;400;4.242,05;3.167,00;92.638,91;5.538,80;0;5.538,80;5,98%;Memiliki RKT
288;2024;Hutan Tanaman;KUD. Beringin Mulya;23.635,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
289;2024;Hutan Tanaman;PT. Amindo Wana Persada;43.680,00;1.171,74;25.824,28;0;0;1.171,74;25.824,28;0;0;0;0,00%;Memiliki RKT
290;2024;Hutan Tanaman;CV. Pari Jaya Makmur;12.070,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
291;2024;Hutan Tanaman;PT. Mardhika Insan Mulia;46.080,00;0;0;0;0;0;0;1.947,44;0;1.947,44;0%;Tidak Memiliki RKT
292;2024;Hutan Tanaman;PT. Telaga Mas Kalimantan;82.805,00;0;0;0;0;0;0;0;0;0;0%;Memiliki RKT
293;2024;Hutan Tanaman;PT. Belayan River Timber;97.500,00;1.795,94;14.159,41;386,83;1.901,40;2.182,77;16.060,81;0;0;0;0,00%;Memiliki RKT
294;2024;Hutan Tanaman;PT. Widya Artha Perdana;14.800,00;345;13.411,81;0;0;345;13.411,81;0;0;0;0,00%;Memiliki RKT
295;2024;Hutan Tanaman;PT. Barito Nusantara Indah;94.685,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
296;2024;Hutan Tanaman;PT. Daisy Timber;30.170,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
297;2024;Hutan Tanaman;PT. Wana Bakti Persada Utama;44.402,00;1.259,00;9.870,88;1.271,00;29.388,44;2.530,00;39.259,32;0;0;0;0,00%;Memiliki RKT
298;2024;Hutan Tanaman;PT. Intertropic Aditama;46.230,00;1.268,10;19.503,48;0;0;1.268,10;19.503,48;8.411,24;0;8.411,24;43,13%;Memiliki RKT
299;2024;Hutan Tanaman;PT. Rimba Karya Rayatama;39.800,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
300;2024;Hutan Tanaman;PT. Trimurti Madina Mulia;30.810,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
301;2024;Hutan Tanaman;PT. Mardhika Insan Mulia Tabalar;25.630,00;544,98;35.177,54;0;0;544,98;35.177,54;330,64;0;330,64;0,94%;Memiliki RKT
302;2024;Hutan Tanaman;PT. Kemakmuran Berkah Timber;82.810,00;2.093,38;34.742,20;476,81;8.431,08;2.570,19;43.173,28;6.791,19;0;6.791,19;15,73%;Memiliki RKT
303;2024;Hutan Tanaman;PT. Roda Mas Timber Kalimantan;70.324,64;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
304;2024;Hutan Tanaman;PT. Harapan Kaltim Lestari;44.515,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
305;2024;Hutan Tanaman;PT. Sumalindo Lestari Jaya V;59.860,00;0;0;0;0;0;0;0;0;0;0%;Tidak Memiliki RKT
306;2024;Hutan Tanaman;PT. Kedap Sayaag;14.370,00;403;18.377,22;649;15.224,57;1.052,00;33.601,79;0;0;0;0,00%;Memiliki RKT
307;2024;Hutan Tanaman;PT. Puji Sempurna Raharja;14.605,00;611;20.920,74;0;0;611;20.920,74;1.508,78;0;1.508,78;7,21%;Memiliki RKT
308;2024;Hutan Tanaman;PT. Mahakarya Perdana Gemilang Unit II;12.890,00;2.720,01;103.479,62;0;0;2.720,01;103.479,62;0;0;0;0%;Memiliki RKT
